               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11064,             0.16625,            0.039796,            0.011213,             0.17547,            0.012637,           0.0030485,            0.099586,             0.11184,            0.034427,              0.0892,              0.0012,              0.0012
                   1,            0.092583,             0.17355,            0.031555,             0.71373,            0.099862,            0.038945,           0.0097172,            0.087282,             0.16006,            0.024475,            0.077376,           0.0023762,           0.0023762
                   2,            0.078083,             0.16295,            0.022592,             0.73961,             0.14635,            0.080379,            0.022529,            0.076398,             0.17472,            0.019266,            0.065424,           0.0034238,           0.0034238
                   3,            0.066894,             0.15893,            0.016468,             0.75664,             0.20549,             0.10589,            0.034961,            0.071345,             0.22135,            0.018073,            0.053343,           0.0043426,           0.0043426
                   4,            0.063084,             0.16037,            0.014762,             0.79631,             0.21074,             0.19152,             0.08126,            0.058737,             0.18418,            0.017994,            0.041133,           0.0051328,           0.0051328
                   5,            0.064189,             0.15849,            0.013392,             0.51634,             0.47419,             0.27036,            0.079351,            0.067185,             0.15668,            0.017262,            0.028794,           0.0057942,           0.0057942
                   6,            0.062237,             0.15343,            0.012997,             0.21091,             0.54153,             0.32691,             0.10063,            0.068198,             0.13224,            0.014315,            0.016327,            0.006327,            0.006327
                   7,            0.056747,              0.1575,            0.012694,             0.37422,             0.60397,             0.41032,             0.17078,            0.058871,             0.12482,             0.01227,            0.006535,            0.006535,            0.006535
                   8,            0.059768,             0.15396,              0.0114,             0.48509,             0.58491,             0.55551,             0.18132,            0.056774,             0.11446,           0.0090908,            0.006535,            0.006535,            0.006535
                   9,            0.052504,             0.15114,            0.010753,             0.46553,             0.70481,             0.50785,             0.20477,            0.053557,             0.12402,           0.0079273,             0.00604,             0.00604,             0.00604
                  10,            0.051493,             0.15299,            0.010484,             0.54828,             0.78341,             0.71589,             0.29637,            0.046466,             0.10757,           0.0071899,            0.005545,            0.005545,            0.005545
                  11,            0.046774,             0.15167,           0.0091407,             0.42911,             0.75771,             0.54223,             0.25609,            0.044522,             0.10806,           0.0062851,             0.00505,             0.00505,             0.00505
                  12,            0.047381,              0.1554,           0.0083141,             0.62451,             0.83266,              0.7625,             0.39168,            0.035579,             0.10522,           0.0056801,            0.004555,            0.004555,            0.004555
                  13,            0.042854,             0.14757,           0.0080618,             0.45761,             0.75555,             0.63395,             0.31044,            0.042907,              0.1018,           0.0052856,             0.00406,             0.00406,             0.00406
                  14,            0.043184,              0.1555,           0.0075141,             0.76065,             0.83096,             0.83025,             0.45884,            0.037003,             0.10402,           0.0049936,            0.003565,            0.003565,            0.003565
                  15,            0.038884,             0.14635,           0.0070466,              0.7274,             0.81381,             0.80976,             0.46878,             0.03581,             0.10311,           0.0046873,             0.00307,             0.00307,             0.00307
                  16,            0.037919,             0.14797,            0.006533,             0.81487,             0.84916,             0.86242,             0.48596,            0.034737,             0.10326,           0.0043737,            0.002575,            0.002575,            0.002575
                  17,            0.036227,             0.14566,           0.0063475,             0.81493,             0.84091,             0.85402,             0.53236,            0.030343,             0.10274,           0.0040564,             0.00208,             0.00208,             0.00208
                  18,            0.033315,             0.14755,           0.0057093,             0.81985,             0.87169,              0.8781,             0.55158,            0.029315,            0.099998,           0.0039574,            0.001585,            0.001585,            0.001585
                  19,            0.032565,             0.15176,           0.0055341,             0.82865,             0.86067,             0.88762,             0.56756,            0.029804,            0.098893,           0.0038336,             0.00109,             0.00109,             0.00109
